# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,29,1,sddp_ecut_0_29_3_21,1.80655e+10,28004:227058,28035:157596,28066:67356.7,28097:36052.6,28128:76.9107,28159:11255.4,28221:48328,28252:21631.5,sddp_alpha_0_28=1000
o,28,1,sddp_ecut_0_28_3_22,1.90999e+10,28004:228521,28035:157578,28066:68311.8,28097:36052.6,28128:85.3546,28159:11598.8,28221:49802.5,28252:22291.5,sddp_alpha_0_27=1000
o,27,1,sddp_ecut_0_27_3_23,2.00288e+10,28004:228521,28035:157550,28066:69079.2,28097:37152.5,28128:86.9301,28159:11598.8,28221:49802.5,28252:22291.5,sddp_alpha_0_26=1000
o,26,1,sddp_fcut_0_26_3_24,2.05984e+10,28004:8.16209,28035:-233.616,28066:-0,28097:-0,28128:56.1907,28159:10559.8,28221:22697,28252:18990.3,sddp_alpha_0_25=1000
o,25,1,sddp_fcut_0_25_3_25,2.1443e+10,28004:234944,28035:32312.2,28066:71032.5,28097:37834.2,28128:104.563,28159:11936.5,28221:51252.3,28252:22940.4,sddp_alpha_0_24=1000
o,24,1,sddp_fcut_0_24_3_26,2.69026e+09,27974:187061,28005:-248.854,28036:32517.2,28067:32517.2,28098:17.455,28129:11188.7,28191:48041.5,28222:21503.3,sddp_alpha_0_23=1000
o,23,1,sddp_fcut_0_23_3_27,2.56656e+09,27964:279745,27995:-206.674,28026:73925.8,28057:45262.6,28088:14.1086,28119:10305.9,28181:40940.4,28212:18324.8,sddp_alpha_0_22=1000
o,22,1,sddp_fcut_0_22_3_28,1.95293e+09,27964:69773.4,27995:-242.762,28026:31278.4,28057:31278.4,28088:5.74925,28119:10085.5,28181:22926,28212:10160.7,sddp_alpha_0_21=1000
o,21,1,sddp_fcut_0_21_3_29,1.25956e+09,27964:-0,27995:-264.738,28026:-0,28057:-0,28088:2.02839,28119:10085.5,28181:0.758101,28212:0.290753,sddp_alpha_0_20=1000
o,20,1,sddp_fcut_0_20_3_30,6.45485e+08,27964:-0,27995:-266.892,28026:-0,28057:-0,28088:0.332593,28119:10080.5,28181:-0,28212:-0,sddp_alpha_0_19=1000
o,19,1,sddp_fcut_0_19_3_31,6.16279e+08,27964:-0,27995:-0,28026:-0,28057:-0,28088:0.322028,28119:10097.6,28181:-266.963,28212:0.0328673,sddp_alpha_0_18=1000
o,18,1,sddp_fcut_0_18_3_32,6.59853e+08,27964:-0,27995:-0,28026:-0,28057:-0,28088:0.400341,28119:10097.6,28181:-266.963,28212:0.0370999,sddp_alpha_0_17=1000
o,17,1,sddp_fcut_0_17_3_33,6.76947e+08,27964:8926.84,27995:-0,28026:-0,28057:-0,28088:0.54898,28119:10023.1,28181:-0,28212:-0,sddp_alpha_0_16=1000
